Campaign_ID,Campaign_Name,Platform,Objective,Ad_Type,Audience_Age,Audience_Gender,Device,Country,Date,Week,Month,Quarter,Year,Impressions,Reach,Clicks,Spend,Conversions,Revenue,CTR,CPC,CPM,Conversion_Rate,CPA,ROAS,ROI
CID1001,Summer Promo Blast,Facebook,Awareness,Story,35-44,Female,Mobile,USA,2024-01-25,4,1,1,2024,4473,3957,166,310.75,19,1924.75,3.71,1.87,69.47,11.45,16.36,6.19,519.39
CID1002,Brand Awareness Boost,Facebook,Leads,Story,35-44,Female,Mobile,USA,2024-03-20,12,3,1,2024,29864,20119,2022,42.59,350,9282.57,6.77,0.02,1.43,17.31,0.12,217.95,21695.19
CID1003,Holiday Mega Sale,Facebook,Traffic,Story,25-34,Male,Desktop,USA,2024-10-01,40,10,4,2024,19023,8752,748,351.55,149,5188.52,3.93,0.47,18.48,19.92,2.36,14.76,1375.9
CID1004,Lead Generation Max,Facebook,Leads,Image,35-44,Mixed,Mobile,USA,2024-08-02,31,8,3,2024,33797,14318,2088,302.29,194,18280.11,6.18,0.14,8.94,9.29,1.56,60.47,5947.21
CID1005,Lead Generation Max,Instagram,Traffic,Carousel,35-44,Mixed,Desktop,USA,2024-05-20,21,5,2,2024,12127,8144,221,330.92,44,4918.19,1.82,1.5,27.29,19.91,7.52,14.86,1386.22
CID1006,Holiday Mega Sale,Instagram,Traffic,Carousel,18-24,Male,Desktop,USA,2024-07-14,28,7,3,2024,24893,10395,1601,159.48,108,2428.28,6.43,0.1,6.41,6.75,1.48,15.23,1422.62
CID1007,Lead Generation Max,Instagram,Leads,Image,18-24,Mixed,Mobile,USA,2024-12-11,50,12,4,2024,39599,32934,277,363.55,49,6326.13,0.7,1.31,9.18,17.69,7.42,17.4,1640.1
CID1008,Website Traffic Growth,Facebook,Traffic,Carousel,25-34,Male,Desktop,USA,2024-07-13,28,7,3,2024,8474,4460,463,128.57,40,5832.11,5.46,0.28,15.17,8.64,3.21,45.36,4436.14
CID1009,New Product Launch,Facebook,Awareness,Carousel,18-24,Mixed,Desktop,USA,2024-11-30,48,11,4,2024,41039,36350,1275,294.83,151,14017.53,3.11,0.23,7.18,11.84,1.95,47.54,4654.44
CID1010,Summer Promo Blast,Facebook,Awareness,Video,18-24,Mixed,Desktop,USA,2024-11-22,47,11,4,2024,10484,4924,154,18.15,4,108.24,1.47,0.12,1.73,2.6,4.54,5.96,496.36
CID1011,Brand Awareness Boost,Instagram,Leads,Video,35-44,Mixed,Mobile,USA,2024-06-18,25,6,2,2024,28824,23617,200,239.78,25,2332.35,0.69,1.2,8.32,12.5,9.59,9.73,872.7
CID1012,Lead Generation Max,Instagram,Awareness,Image,25-34,Mixed,Mobile,USA,2024-03-16,11,3,1,2024,8051,4389,113,406.14,28,1329.84,1.4,3.59,50.45,24.78,14.5,3.27,227.43
CID1013,Conversion Accelerator,Facebook,Sales,Video,35-44,Male,Desktop,USA,2024-04-25,17,4,2,2024,10563,7885,300,246.34,58,2888.76,2.84,0.82,23.32,19.33,4.25,11.73,1072.67
CID1014,Lead Generation Max,Instagram,Sales,Image,25-34,Mixed,Desktop,USA,2024-04-19,16,4,2,2024,24092,15305,196,457.05,18,1362.49,0.81,2.33,18.97,9.18,25.39,2.98,198.11
CID1015,Lead Generation Max,Instagram,Awareness,Carousel,25-34,Mixed,Mobile,USA,2024-12-20,51,12,4,2024,24487,11524,417,483.77,99,2783.84,1.7,1.16,19.76,23.74,4.89,5.75,475.45
CID1016,Conversion Accelerator,Facebook,Traffic,Story,18-24,Female,Mobile,USA,2024-05-29,22,5,2,2024,14172,12373,792,432.84,42,4349.05,5.59,0.55,30.54,5.3,10.31,10.05,904.77
CID1017,New Product Launch,Facebook,Awareness,Image,18-24,Female,Desktop,USA,2024-04-16,16,4,2,2024,14601,9197,1017,465.75,66,6426.86,6.97,0.46,31.9,6.49,7.06,13.8,1279.89
CID1018,Lead Generation Max,Instagram,Leads,Image,18-24,Male,Desktop,USA,2024-05-13,20,5,2,2024,3846,2549,266,468.54,65,5796.44,6.92,1.76,121.83,24.44,7.21,12.37,1137.13
CID1019,Lead Generation Max,Facebook,Sales,Image,35-44,Mixed,Desktop,USA,2024-08-06,32,8,3,2024,44192,38924,1771,158.1,74,8711.43,4.01,0.09,3.58,4.18,2.14,55.1,5410.08
CID1020,Holiday Mega Sale,Instagram,Awareness,Carousel,35-44,Male,Mobile,USA,2024-01-03,1,1,1,2024,9902,7149,440,389.72,64,7781.31,4.44,0.89,39.36,14.55,6.09,19.97,1896.64
CID1021,Holiday Mega Sale,Facebook,Traffic,Story,25-34,Mixed,Desktop,USA,2024-08-02,31,8,3,2024,11310,5182,257,96.87,13,807.38,2.27,0.38,8.56,5.06,7.45,8.33,733.47
CID1022,Retargeting Strategy,Facebook,Traffic,Image,25-34,Female,Mobile,USA,2024-05-01,18,5,2,2024,6180,5048,138,150.44,21,993.16,2.23,1.09,24.34,15.22,7.16,6.6,560.17
CID1023,Conversion Accelerator,Facebook,Traffic,Video,25-34,Female,Desktop,USA,2024-12-25,52,12,4,2024,11170,9683,230,39.1,41,2845.37,2.06,0.17,3.5,17.83,0.95,72.77,7177.16
CID1024,Holiday Mega Sale,Facebook,Leads,Carousel,25-34,Male,Desktop,USA,2024-03-08,10,3,1,2024,40856,26296,454,197.52,14,1197.17,1.11,0.44,4.83,3.08,14.11,6.06,506.1
CID1025,Website Traffic Growth,Facebook,Sales,Image,35-44,Female,Mobile,USA,2024-04-02,14,4,2,2024,12721,10329,683,198.27,114,7366.38,5.37,0.29,15.59,16.69,1.74,37.15,3615.33
CID1026,Summer Promo Blast,Facebook,Sales,Carousel,35-44,Male,Desktop,USA,2024-06-14,24,6,2,2024,34250,20193,1089,309.88,247,36186.4,3.18,0.28,9.05,22.68,1.25,116.78,11577.55
CID1027,Holiday Mega Sale,Instagram,Awareness,Image,35-44,Male,Desktop,USA,2024-10-09,41,10,4,2024,49162,40625,670,245.72,115,15502.5,1.36,0.37,5.0,17.16,2.14,63.09,6209.01
CID1028,New Product Launch,Facebook,Traffic,Video,18-24,Male,Mobile,USA,2024-03-24,12,3,1,2024,47679,26311,1168,78.48,164,19630.09,2.45,0.07,1.65,14.04,0.48,250.13,24912.86
CID1029,Summer Promo Blast,Instagram,Awareness,Image,35-44,Mixed,Mobile,USA,2024-05-15,20,5,2,2024,43750,21490,1778,302.32,424,57362.54,4.06,0.17,6.91,23.85,0.71,189.74,18874.11
CID1030,Lead Generation Max,Facebook,Sales,Image,18-24,Mixed,Mobile,USA,2024-04-05,14,4,2,2024,25513,13540,672,348.46,118,3927.26,2.63,0.52,13.66,17.56,2.95,11.27,1027.03
CID1031,Summer Promo Blast,Facebook,Sales,Video,35-44,Male,Desktop,USA,2024-09-01,35,9,3,2024,26163,19307,169,482.19,6,612.95,0.65,2.85,18.43,3.55,80.36,1.27,27.12
CID1032,Holiday Mega Sale,Instagram,Sales,Carousel,25-34,Female,Desktop,USA,2024-12-28,52,12,4,2024,42167,26365,1167,451.37,46,1660.08,2.77,0.39,10.7,3.94,9.81,3.68,267.79
CID1033,Lead Generation Max,Facebook,Leads,Image,25-34,Male,Mobile,USA,2024-06-03,23,6,2,2024,26924,20547,1680,38.99,148,13907.57,6.24,0.02,1.45,8.81,0.26,356.7,35569.58
CID1034,Summer Promo Blast,Facebook,Sales,Video,25-34,Female,Mobile,USA,2024-10-30,44,10,4,2024,43423,38543,2224,437.16,248,12700.02,5.12,0.2,10.07,11.15,1.76,29.05,2805.12
CID1035,Summer Promo Blast,Facebook,Traffic,Video,35-44,Female,Desktop,USA,2024-03-04,10,3,1,2024,48114,26644,2405,446.07,308,24846.11,5.0,0.19,9.27,12.81,1.45,55.7,5470.0
CID1036,Conversion Accelerator,Facebook,Leads,Carousel,35-44,Mixed,Desktop,USA,2024-02-12,7,2,1,2024,11995,8748,482,489.72,19,2054.61,4.02,1.02,40.83,3.94,25.77,4.2,319.55
CID1037,Summer Promo Blast,Instagram,Sales,Carousel,18-24,Mixed,Desktop,USA,2024-01-20,3,1,1,2024,40706,21613,215,309.96,35,949.8,0.53,1.44,7.61,16.28,8.86,3.06,206.43
CID1038,Holiday Mega Sale,Facebook,Sales,Image,18-24,Male,Mobile,USA,2024-02-10,6,2,1,2024,36303,23120,2091,172.32,517,68360.56,5.76,0.08,4.75,24.73,0.33,396.71,39570.71
CID1039,Lead Generation Max,Facebook,Awareness,Video,25-34,Female,Desktop,USA,2024-05-21,21,5,2,2024,30999,16643,1422,313.6,85,3402.11,4.59,0.22,10.12,5.98,3.69,10.85,984.86
CID1040,New Product Launch,Instagram,Awareness,Video,25-34,Male,Desktop,USA,2024-09-21,38,9,3,2024,3034,1232,146,302.38,3,139.41,4.81,2.07,99.66,2.05,100.79,0.46,-53.9
CID1041,Retargeting Strategy,Instagram,Sales,Carousel,25-34,Mixed,Mobile,USA,2024-08-20,34,8,3,2024,13375,6014,304,364.65,53,4909.13,2.27,1.2,27.26,17.43,6.88,13.46,1246.26
CID1042,Conversion Accelerator,Instagram,Traffic,Video,18-24,Female,Desktop,USA,2024-02-26,9,2,1,2024,14722,8238,86,155.05,14,886.2,0.58,1.8,10.53,16.28,11.08,5.72,471.56
CID1043,Retargeting Strategy,Instagram,Awareness,Video,25-34,Female,Desktop,USA,2024-06-24,26,6,2,2024,17442,11763,286,238.55,46,2266.89,1.64,0.83,13.68,16.08,5.19,9.5,850.28
CID1044,New Product Launch,Facebook,Leads,Video,25-34,Mixed,Desktop,USA,2024-07-06,27,7,3,2024,42864,27996,690,258.6,92,3698.81,1.61,0.37,6.03,13.33,2.81,14.3,1330.32
CID1045,Summer Promo Blast,Instagram,Sales,Video,35-44,Male,Desktop,USA,2024-11-23,47,11,4,2024,6433,2962,507,108.26,56,7055.14,7.88,0.21,16.83,11.05,1.93,65.17,6416.85
CID1046,New Product Launch,Instagram,Sales,Video,18-24,Male,Desktop,USA,2024-02-06,6,2,1,2024,24566,12058,877,266.29,101,14637.21,3.57,0.3,10.84,11.52,2.64,54.97,5396.72
CID1047,New Product Launch,Facebook,Leads,Video,18-24,Mixed,Desktop,USA,2024-01-06,1,1,1,2024,49799,22882,1967,379.7,486,31170.14,3.95,0.19,7.62,24.71,0.78,82.09,8109.15
CID1048,Conversion Accelerator,Instagram,Sales,Story,35-44,Mixed,Mobile,USA,2024-08-31,35,8,3,2024,46889,20234,1976,85.18,393,15665.39,4.21,0.04,1.82,19.89,0.22,183.91,18290.93
CID1049,Website Traffic Growth,Facebook,Awareness,Video,35-44,Female,Mobile,USA,2024-04-13,15,4,2,2024,38876,34601,2040,353.08,390,33724.06,5.25,0.17,9.08,19.12,0.91,95.51,9451.39
CID1050,Brand Awareness Boost,Instagram,Traffic,Video,25-34,Male,Mobile,USA,2024-11-05,45,11,4,2024,790,539,37,291.44,5,105.34,4.68,7.88,368.91,13.51,58.29,0.36,-63.86
CID1051,Holiday Mega Sale,Facebook,Sales,Carousel,18-24,Mixed,Desktop,USA,2024-05-23,21,5,2,2024,11755,10147,586,313.34,90,9560.04,4.99,0.53,26.66,15.36,3.48,30.51,2951.01
CID1052,Holiday Mega Sale,Facebook,Traffic,Story,35-44,Male,Mobile,USA,2024-12-20,51,12,4,2024,18378,9559,1242,466.99,76,4179.02,6.76,0.38,25.41,6.12,6.14,8.95,794.88
CID1053,Retargeting Strategy,Facebook,Sales,Story,18-24,Mixed,Desktop,USA,2024-01-08,2,1,1,2024,40337,33998,1315,419.77,276,40820.53,3.26,0.32,10.41,20.99,1.52,97.24,9624.5
CID1054,Website Traffic Growth,Facebook,Sales,Carousel,35-44,Mixed,Mobile,USA,2024-05-04,18,5,2,2024,1692,1459,81,265.15,6,858.21,4.79,3.27,156.71,7.41,44.19,3.24,223.67
CID1055,New Product Launch,Facebook,Sales,Video,18-24,Female,Mobile,USA,2024-12-12,50,12,4,2024,43248,38628,3345,381.47,336,11851.53,7.73,0.11,8.82,10.04,1.14,31.07,3006.81
CID1056,Website Traffic Growth,Facebook,Leads,Carousel,25-34,Male,Desktop,USA,2024-11-23,47,11,4,2024,18819,15451,980,184.61,112,13268.02,5.21,0.19,9.81,11.43,1.65,71.87,7087.05
CID1057,Website Traffic Growth,Facebook,Awareness,Image,25-34,Male,Desktop,USA,2024-03-18,12,3,1,2024,10917,9404,776,255.33,32,794.92,7.11,0.33,23.39,4.12,7.98,3.11,211.33
CID1058,Retargeting Strategy,Facebook,Leads,Video,18-24,Male,Mobile,USA,2024-09-07,36,9,3,2024,29511,16043,2093,102.17,400,49935.29,7.09,0.05,3.46,19.11,0.26,488.75,48774.71
CID1059,Lead Generation Max,Facebook,Awareness,Story,35-44,Female,Desktop,USA,2024-02-22,8,2,1,2024,9362,5291,252,280.22,25,632.21,2.69,1.11,29.93,9.92,11.21,2.26,125.61
CID1060,Lead Generation Max,Instagram,Traffic,Story,35-44,Female,Desktop,USA,2024-11-29,48,11,4,2024,45520,28579,3377,387.34,471,13699.96,7.42,0.11,8.51,13.95,0.82,35.37,3436.93
CID1061,New Product Launch,Instagram,Traffic,Story,35-44,Mixed,Mobile,USA,2024-08-01,31,8,3,2024,29098,19332,1330,100.85,33,3204.47,4.57,0.08,3.47,2.48,3.06,31.77,3077.46
CID1062,Conversion Accelerator,Facebook,Sales,Carousel,25-34,Male,Desktop,USA,2024-02-27,9,2,1,2024,45215,25573,404,382.08,49,4077.76,0.89,0.95,8.45,12.13,7.8,10.67,967.25
CID1063,Retargeting Strategy,Facebook,Sales,Story,35-44,Female,Mobile,USA,2024-03-24,12,3,1,2024,14093,10707,172,382.49,32,1161.22,1.22,2.22,27.14,18.6,11.95,3.04,203.59
CID1064,New Product Launch,Instagram,Awareness,Image,35-44,Female,Desktop,USA,2024-05-02,18,5,2,2024,25653,22052,550,195.22,68,3038.19,2.14,0.35,7.61,12.36,2.87,15.56,1456.29
CID1065,Retargeting Strategy,Instagram,Leads,Image,35-44,Male,Mobile,USA,2024-08-14,33,8,3,2024,16421,8050,261,184.12,51,5056.3,1.59,0.71,11.21,19.54,3.61,27.46,2646.2
CID1066,Summer Promo Blast,Facebook,Traffic,Image,35-44,Mixed,Mobile,USA,2024-05-21,21,5,2,2024,6585,3559,520,352.21,101,4345.28,7.9,0.68,53.49,19.42,3.49,12.34,1133.72
CID1067,New Product Launch,Instagram,Awareness,Carousel,25-34,Female,Mobile,USA,2024-05-10,19,5,2,2024,47502,32435,1809,194.15,348,49883.92,3.81,0.11,4.09,19.24,0.56,256.93,25593.49
CID1068,Website Traffic Growth,Facebook,Sales,Image,18-24,Mixed,Mobile,USA,2024-09-07,36,9,3,2024,18337,11468,227,472.24,49,7063.49,1.24,2.08,25.75,21.59,9.64,14.96,1395.74
